ordem_coluna,variavel,classe_r,tipo_r,nivel_conceitual,unidade,origem,descricao,cuidado_interpretativo
147,quantidade_docente_fundamental,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade docente fundamental. Consulte a origem e o módulo de criação para definição operacional.,
148,quantidade_docente_fundamental_anos_iniciais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade docente fundamental anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
149,quantidade_docente_fundamental_anos_finais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade docente fundamental anos finais. Consulte a origem e o módulo de criação para definição operacional.,
150,quantidade_docente_especial,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade docente especial. Consulte a origem e o módulo de criação para definição operacional.,
151,quantidade_turma_educacao_basica,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade turma educacao basica. Consulte a origem e o módulo de criação para definição operacional.,
152,quantidade_turma_fundamental,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade turma fundamental. Consulte a origem e o módulo de criação para definição operacional.,
153,quantidade_turma_fundamental_anos_iniciais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade turma fundamental anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
154,quantidade_turma_fundamental_anos_finais,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade turma fundamental anos finais. Consulte a origem e o módulo de criação para definição operacional.,
155,quantidade_turma_fundamental_integral,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade turma fundamental integral. Consulte a origem e o módulo de criação para definição operacional.,
156,quantidade_sala_existente,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade sala existente. Consulte a origem e o módulo de criação para definição operacional.,
157,quantidade_sala_utilizada,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade sala utilizada. Consulte a origem e o módulo de criação para definição operacional.,
158,quantidade_sala_utilizada_climatizada,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade sala utilizada climatizada. Consulte a origem e o módulo de criação para definição operacional.,
159,quantidade_sala_utilizada_acessivel,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade sala utilizada acessivel. Consulte a origem e o módulo de criação para definição operacional.,
160,agua_potavel,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável agua potavel. Consulte a origem e o módulo de criação para definição operacional.,
161,agua_rede_publica,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável agua rede publica. Consulte a origem e o módulo de criação para definição operacional.,
162,energia_rede_publica,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável energia rede publica. Consulte a origem e o módulo de criação para definição operacional.,
163,esgoto_rede_publica,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável esgoto rede publica. Consulte a origem e o módulo de criação para definição operacional.,
164,biblioteca,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável biblioteca. Consulte a origem e o módulo de criação para definição operacional.,
165,biblioteca_sala_leitura,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável biblioteca sala leitura. Consulte a origem e o módulo de criação para definição operacional.,
166,sala_leitura,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável sala leitura. Consulte a origem e o módulo de criação para definição operacional.,
167,laboratorio_ciencias,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável laboratorio ciencias. Consulte a origem e o módulo de criação para definição operacional.,
168,laboratorio_informatica,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável laboratorio informatica. Consulte a origem e o módulo de criação para definição operacional.,
169,quadra_esportes,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quadra esportes. Consulte a origem e o módulo de criação para definição operacional.,
170,quadra_esportes_coberta,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quadra esportes coberta. Consulte a origem e o módulo de criação para definição operacional.,
171,internet,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável internet. Consulte a origem e o módulo de criação para definição operacional.,
172,internet_aprendizagem,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável internet aprendizagem. Consulte a origem e o módulo de criação para definição operacional.,
173,internet_alunos,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável internet alunos. Consulte a origem e o módulo de criação para definição operacional.,
174,acessibilidade_rampas,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável acessibilidade rampas. Consulte a origem e o módulo de criação para definição operacional.,
175,acessibilidade_corrimao,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável acessibilidade corrimao. Consulte a origem e o módulo de criação para definição operacional.,
176,acessibilidade_pisos_tateis,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável acessibilidade pisos tateis. Consulte a origem e o módulo de criação para definição operacional.,
177,acessibilidade_elevador,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável acessibilidade elevador. Consulte a origem e o módulo de criação para definição operacional.,
178,acessibilidade_inexistente,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável acessibilidade inexistente. Consulte a origem e o módulo de criação para definição operacional.,
179,banheiro,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável banheiro. Consulte a origem e o módulo de criação para definição operacional.,
180,banheiro_pne,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável banheiro pne. Consulte a origem e o módulo de criação para definição operacional.,
181,cozinha,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável cozinha. Consulte a origem e o módulo de criação para definição operacional.,
182,refeitorio,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável refeitorio. Consulte a origem e o módulo de criação para definição operacional.,
183,alimentacao,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável alimentacao. Consulte a origem e o módulo de criação para definição operacional.,
184,sala_atendimento_especial,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável sala atendimento especial. Consulte a origem e o módulo de criação para definição operacional.,
185,quantidade_computador,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade computador. Consulte a origem e o módulo de criação para definição operacional.,
186,quantidade_computador_aluno,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade computador aluno. Consulte a origem e o módulo de criação para definição operacional.,
187,quantidade_computador_portatil_aluno,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade computador portatil aluno. Consulte a origem e o módulo de criação para definição operacional.,
188,quantidade_tablet_aluno,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade tablet aluno. Consulte a origem e o módulo de criação para definição operacional.,
189,quantidade_profissional_bibliotecario,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade profissional bibliotecario. Consulte a origem e o módulo de criação para definição operacional.,
190,quantidade_profissional_coordenador,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade profissional coordenador. Consulte a origem e o módulo de criação para definição operacional.,
191,quantidade_profissional_psicologo,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade profissional psicologo. Consulte a origem e o módulo de criação para definição operacional.,
192,quantidade_profissional_assistente_social,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade profissional assistente social. Consulte a origem e o módulo de criação para definição operacional.,
193,quantidade_profissional_monitor,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade profissional monitor. Consulte a origem e o módulo de criação para definição operacional.,
194,quantidade_profissional_pedagogia,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável quantidade profissional pedagogia. Consulte a origem e o módulo de criação para definição operacional.,
195,oferta_educacao_infantil,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável oferta educacao infantil. Consulte a origem e o módulo de criação para definição operacional.,
196,oferta_anos_iniciais,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável oferta anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
197,oferta_anos_finais,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável oferta anos finais. Consulte a origem e o módulo de criação para definição operacional.,
198,oferta_eja,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável oferta eja. Consulte a origem e o módulo de criação para definição operacional.,
199,oferta_educacao_especial,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável oferta educacao especial. Consulte a origem e o módulo de criação para definição operacional.,
200,numero_itens_infraestrutura_disponiveis,numeric,double,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável numero itens infraestrutura disponiveis. Consulte a origem e o módulo de criação para definição operacional.,
201,numero_itens_infraestrutura_presentes,numeric,double,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável numero itens infraestrutura presentes. Consulte a origem e o módulo de criação para definição operacional.,
202,possui_espaco_leitura,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável possui espaco leitura. Consulte a origem e o módulo de criação para definição operacional.,
203,possui_recurso_acessibilidade,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável possui recurso acessibilidade. Consulte a origem e o módulo de criação para definição operacional.,
204,codigo_situacao_funcionamento,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável codigo situacao funcionamento. Consulte a origem e o módulo de criação para definição operacional.,
205,codigo_rede_2024,numeric,double,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável codigo rede 2024. Consulte a origem e o módulo de criação para definição operacional.,
206,alerta_sem_linha_2024,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável alerta sem linha 2024. Consulte a origem e o módulo de criação para definição operacional.,
207,alerta_sem_matriculas_anos_iniciais,logical,logical,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável alerta sem matriculas anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
208,alerta_sem_turmas_anos_iniciais,logical,logical,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável alerta sem turmas anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
209,alerta_sem_docentes_anos_iniciais,logical,logical,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável alerta sem docentes anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
210,alerta_matriculas_sem_turmas,logical,logical,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável alerta matriculas sem turmas. Consulte a origem e o módulo de criação para definição operacional.,
211,alerta_matriculas_sem_docentes,logical,logical,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável alerta matriculas sem docentes. Consulte a origem e o módulo de criação para definição operacional.,
212,alerta_nao_ativa_2024,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável alerta nao ativa 2024. Consulte a origem e o módulo de criação para definição operacional.,
213,caso_historico_administrativo,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável caso historico administrativo. Consulte a origem e o módulo de criação para definição operacional.,
214,requer_revisao_tecnica,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável requer revisao tecnica. Consulte a origem e o módulo de criação para definição operacional.,
215,motivo_revisao_tecnica,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável motivo revisao tecnica. Consulte a origem e o módulo de criação para definição operacional.,
216,escola_ativa_2024,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável escola ativa 2024. Consulte a origem e o módulo de criação para definição operacional.,
217,vinculo_privado_explicito,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável vinculo privado explicito. Consulte a origem e o módulo de criação para definição operacional.,
218,grupo_administrativo_2024,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável grupo administrativo 2024. Consulte a origem e o módulo de criação para definição operacional.,
219,divergencia_censo_cadastro,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável divergencia censo cadastro. Consulte a origem e o módulo de criação para definição operacional.,
220,tipo_divergencia_administrativa,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo divergencia administrativa. Consulte a origem e o módulo de criação para definição operacional.,
221,incluir_contexto_descritivo_2024,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável incluir contexto descritivo 2024. Consulte a origem e o módulo de criação para definição operacional.,
222,motivo_nao_inclusao_universo_estrito,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável motivo nao inclusao universo estrito. Consulte a origem e o módulo de criação para definição operacional.,
223,decisao_manual,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável decisao manual. Consulte a origem e o módulo de criação para definição operacional.,
224,tipo_vinculo_rede_corrigido,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável tipo vinculo rede corrigido. Consulte a origem e o módulo de criação para definição operacional.,
225,status_rede_2025_corrigido,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável status rede 2025 corrigido. Consulte a origem e o módulo de criação para definição operacional.,
226,observacao_manual,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável observacao manual. Consulte a origem e o módulo de criação para definição operacional.,
227,observacao_administrativa_final,character,character,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável observacao administrativa final. Consulte a origem e o módulo de criação para definição operacional.,
228,utilizar_indicadores_matriculas,logical,logical,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável utilizar indicadores matriculas. Consulte a origem e o módulo de criação para definição operacional.,
229,utilizar_indicadores_turmas_docentes,logical,logical,"escola, repetida na base escola × série",contagem,dim_contexto_escola_2024_final.csv,Variável utilizar indicadores turmas docentes. Consulte a origem e o módulo de criação para definição operacional.,
230,utilizar_indicadores_infraestrutura,logical,logical,"escola, repetida na base escola × série",não aplicável,dim_contexto_escola_2024_final.csv,Variável utilizar indicadores infraestrutura. Consulte a origem e o módulo de criação para definição operacional.,
231,log_matriculas_anos_iniciais,numeric,double,escola × série,contagem,derivada no módulo 15,Variável log matriculas anos iniciais. Consulte a origem e o módulo de criação para definição operacional.,
